"ems_id","dates","val","n_readings"
"a",2010-12-31,NA,20
"a",2011-01-01,8.59090909090909,10
"a",2011-01-02,8.58333333333333,22
"a",2011-01-03,7.34782608695652,22
"a",2011-01-04,3.79166666666667,13
"a",2011-01-05,1.45833333333333,16
"a",2011-01-06,2.375,24
"a",2011-01-07,0.0833333333333333,9
"a",2011-01-08,3.29166666666667,21
"a",2011-01-09,3.375,24
"a",2011-01-10,4.625,23
"a",2011-01-11,3.27272727272727,20
"a",2011-01-12,2.875,22
"a",2011-01-13,4.875,22
"a",2011-01-14,2.375,22
"a",2011-01-15,1.41666666666667,21
"a",2011-01-16,2.58333333333333,14
"a",2011-01-17,1.95833333333333,22
"a",2011-01-18,5.625,19
"a",2011-01-19,3.95833333333333,24
"a",2011-01-20,1.83333333333333,20
"a",2011-01-21,2.20833333333333,24
"a",2011-01-22,3.20833333333333,23
"a",2011-01-23,2.08333333333333,20
"a",2011-01-24,2.54166666666667,24
"a",2011-01-25,2.29166666666667,21
"a",2011-01-26,5.125,24
"a",2011-01-27,5.70833333333333,23
"a",2011-01-28,4.16666666666667,24
"a",2011-01-29,2.75,24
"a",2011-01-30,5.125,20
"a",2011-01-31,7.375,23
"a",2011-02-01,6.25,20
"a",2011-02-02,6.91666666666667,23
"a",2011-02-03,3.08333333333333,24
"a",2011-02-04,1.375,24
"a",2011-02-05,4.45833333333333,23
"a",2011-02-06,0.91304347826087,24
"a",2011-02-07,1.625,20
"a",2011-02-08,3.70833333333333,23
"a",2011-02-09,7.625,23
"a",2011-02-10,8.5,24
"a",2011-02-11,2.70833333333333,21
"a",2011-02-12,1.79166666666667,20
"a",2011-02-13,0.458333333333333,21
"a",2011-02-14,4.45,17
"a",2011-02-15,2.5,18
"a",2011-02-16,3.04166666666667,23
"a",2011-02-17,3.70833333333333,23
"a",2011-02-18,4.5,24
"a",2011-02-19,4.375,12
"a",2011-02-20,3.54166666666667,23
"a",2011-02-21,5,24
"a",2011-02-22,2.04166666666667,24
"a",2011-02-23,1.75,22
"a",2011-02-24,2.66666666666667,24
"a",2011-02-25,5.04166666666667,21
"a",2011-02-26,2.95833333333333,21
"a",2011-02-27,1.58333333333333,22
"a",2011-02-28,2.66666666666667,24
"a",2011-03-01,1.20833333333333,24
"a",2011-03-02,3.73913043478261,24
"a",2011-03-03,4.04166666666667,24
"a",2011-03-04,3.16666666666667,19
"a",2011-03-05,4.45833333333333,24
"a",2011-03-06,4.66666666666667,24
"a",2011-03-07,5.08333333333333,23
"a",2011-03-08,4.04166666666667,16
"a",2011-03-09,1.75,23
"a",2011-03-10,3.08333333333333,21
"a",2011-03-11,1.66666666666667,19
"a",2011-03-12,2.83333333333333,24
"a",2011-03-13,1.91666666666667,20
"a",2011-03-14,2.41666666666667,23
"a",2011-03-15,1.70833333333333,23
"a",2011-03-16,3.75,24
"a",2011-03-17,1.625,23
"a",2011-03-18,1.79166666666667,19
"a",2011-03-19,4.625,23
"a",2011-03-20,3.29166666666667,23
"a",2011-03-21,3.68181818181818,24
"a",2011-03-22,3.25,16
"a",2011-03-23,2.79166666666667,24
"a",2011-03-24,3.875,23
"a",2011-03-25,2.66666666666667,22
"a",2011-03-26,3.625,22
"a",2011-03-27,3.16666666666667,23
"a",2011-03-28,1.95833333333333,24
"a",2011-03-29,2.58333333333333,24
"a",2011-03-30,2.70833333333333,23
"a",2011-03-31,2.58333333333333,24
"a",2011-04-01,2.04166666666667,21
"a",2011-04-02,4.58333333333333,21
"a",2011-04-03,2.70833333333333,23
"a",2011-04-04,2.75,23
"a",2011-04-05,1.08333333333333,23
"a",2011-04-06,4.04166666666667,24
"a",2011-04-07,3.79166666666667,14
"a",2011-04-08,3.66666666666667,23
"a",2011-04-09,6.08333333333333,22
"a",2011-04-10,1.91666666666667,20
"a",2011-04-11,2.16666666666667,21
"a",2011-04-12,2.54166666666667,24
"a",2011-04-13,4.04166666666667,17
